TIMESTAMP,Fc_Org_L2,Fc_Gapfilled_L3,Fc_All_Gapfilled,Rg_Org_L2,Rg_Gapfilled_L3,LE_Org_L2,LE_Gapfilled_L3,LE_All_Gapfilled,H_Org_L2,H_Gapfilled_L3,H_All_Gapfilled,Tair_Org_L2,Tair_Gapfilled_L3,VPD_Org_L2,VPD_Gapfilled_L3,VPD_All_Gapfilled,Reco_Reference_L3,Reco_L3,GPP_L3,ET_Gapfilled_L3,Fc_Org_L2_Sum,Fc_Gapfilled_L3_Sum,Fc_All_Gapfilled_Sum,Rg_Org_L2_Sum,Rg_Gapfilled_L3_Sum,Rg_All_Gapfilled_Sum,LE_Org_L2_Sum,LE_Gapfilled_L3_Sum,LE_All_Gapfilled_Sum,H_Org_L2_Sum,H_Gapfilled_L3_Sum,H_All_Gapfilled_Sum,Reco_L3_Sum,GPP_L3_Sum,ET_Gapfilled_L3_Sum,Rg_Org_L2_Max,Rg_Gapfilled_L3_Max,Rg_All_Gapfilled_Max,Tair_Org_L2_Max,Tair_Gapfilled_L3_Max,Tair_All_Gapfilled_Max,VPD_Org_L2_Max,VPD_Gapfilled_L3_Max,VPD_All_Gapfilled_Max,ET_Gapfilled_L3_Max,Rg_Org_L2_Min,Rg_Gapfilled_L3_Min,Tair_Org_L2_Min,Tair_Gapfilled_L3_Min,VPD_Org_L2_Min,VPD_Gapfilled_L3_Min,ET_Gapfilled_L3_Min,Fc_Gapfilled_L3_Sum_Carbon,GPP_L3_Sum_Carbon,Reco_L3_Sum_Carbon
2019-10-10,-1.7199671190476191,-1.346462387917625,-1.2644813793601497,235.68414477083343,235.68414477083343,29.580691790697667,26.831151548483792,28.26263312226429,84.5278638,69.0269443357693,66.3259309371931,21.92822916666668,21.92822916666668,18.9466745,18.9466745,18.9466745,1.3450693825953115,1.809311501434174,3.1557738893517993,0.019812285922959746,-72.238619,-64.630194620046,-60.69510620928718,11312.838949000005,11312.838949000005,11312.838949000005,1271.9697469999996,1287.895274327222,1356.606389868686,3381.1145520000005,3313.2933281169267,3183.644684985269,86.84695206884035,151.47714668888636,0.9509897243020677,823.5746,823.5746,823.5746,30.229,30.229,30.229,37.94513,37.94513,37.94513,0.0643514947230108,-5.031905,-5.031905,15.698,15.698,7.803025,7.803025,-0.008466500747070218,-1.3960122037929936,3.2719063684799456,1.8758941646869518
2019-10-11,-1.80585956,-1.3027615934084067,-1.143821754152376,239.22951670833334,239.22951670833334,32.57442866666667,23.40086357656692,27.03858163762892,78.32434819512196,66.53079908319832,65.94058522302866,20.656145833333355,20.656145833333355,18.487651666666675,18.487651666666675,18.487651666666675,1.1654428462366846,1.4937296592126623,2.7964912526210703,0.01726830590936618,-72.2343824,-62.53255648360352,-54.90344419931405,11483.016802,11483.016802,11483.016802,1074.956146,1123.2414516752121,1297.851918606188,3211.298276,3193.4783559935195,3165.148090705376,71.69902364220779,134.23158012581138,0.8288786836495766,838.3589,838.3589,838.3589,28.93,28.93,28.93,37.06086,37.06086,37.06086,0.06229456445453779,-5.816729,-5.816729,13.7070000000001,13.7070000000001,7.642862,7.642862,-0.00765113322557027,-1.350703220045836,2.8994021307175255,1.5486989106716882
2019-10-12,-2.2274913076923077,-1.5606584302987974,-1.054998651078112,218.30283535000004,218.30283535000004,23.633078571428573,22.000732998647205,27.302719958835755,61.79875827906979,54.622971908855504,60.276034181564654,22.712437500000007,22.712437500000007,19.53218089583333,19.53218089583333,19.53218089583333,0.9914111964415753,1.3706517686537731,2.9313101989525703,0.016256833347741712,-86.872161,-74.91160465434227,-50.63993525174938,10478.536096800002,10478.536096800002,10478.536096800002,827.1577500000001,1056.0351839350658,1310.5305580241163,2657.346606000001,2621.902651625064,2893.2496407151034,65.79128489538111,140.70288954972338,0.7803280006916021,806.492,806.492,806.492,31.16,31.16,31.16,36.53882,36.53882,36.53882,0.06085582929967321,-4.172769,-4.172769,14.0820000000001,14.0820000000001,7.61677,7.61677,-0.01173214982768236,-1.618090660533793,3.0391824142740247,1.4210917537402319
2019-10-13,-1.1242583636363639,-1.0480636332380175,-0.5084862348104616,186.7485157458333,186.7485157458333,15.780265607692305,18.264846287728208,26.31423779524991,50.427822704545456,45.972686144900955,48.1085275338016,24.46766666666667,24.46766666666667,19.9145158125,19.9145158125,19.9145158125,1.0486348579385385,1.5590010594988721,2.607064692736891,0.0135069049889336,-49.46736800000001,-50.30705439542484,-24.40733927090216,8963.928755799998,8963.928755799998,8963.928755799998,615.4303586999999,876.712621810954,1263.0834141719956,2218.824199,2206.6889349552457,2309.2093216224766,74.83205085594587,125.13910525137075,0.6483314394688128,866.3676,866.3676,866.3676,30.861,30.861,30.861,35.0685,35.0685,35.0685,0.05271376383159041,-3.614654,-3.614654,18.071,18.071,8.861516,8.861516,-0.003236983772488507,-1.0866323749411766,2.703004673429608,1.6163722984884308
2019-10-14,-0.9998076000000001,-0.5335116194631321,-0.0790011708902645,134.3897430743542,134.3897430743542,22.765482162162158,18.64218172054827,23.529502941378297,48.98140195121951,40.639132290132956,33.90376555564311,23.497583333333335,23.497583333333335,17.255077760869565,17.031622120244684,17.031622120244684,1.227081061645056,1.7565455563189172,2.29005717578205,0.01375262305087268,-39.992304000000004,-25.608557734230338,-3.792056202732696,6450.707667569001,6450.707667569001,6450.707667569001,842.3228399999998,894.824722586317,1129.4161411861583,2008.2374799999998,1950.6783499263818,1627.3807466708693,84.31418670330802,109.9227444375384,0.6601259064418886,810.6404,810.6404,810.6404,28.374,28.374,28.374,27.00136,27.00136,27.00136,0.057240096621927215,-4.146733,-4.146733,18.781,18.781,6.718028,6.718028,-0.0024363887765263626,-0.5531448470593752,2.374331279850829,1.8211864327914533
2019-10-15,,1.3738043923958394,1.3738043923958394,26.675684808333326,26.675684808333326,,12.26568182596045,12.26568182596045,,-4.205786120217425,-4.205786120217425,,19.925567687022497,,13.956205459438143,13.956205459438143,1.4055272653515736,1.7473587781260658,0.373554385730226,0.009007411424438163,0.0,65.9426108350003,65.9426108350003,1280.4328707999996,1280.4328707999996,1280.4328707999996,0.0,588.7527276461016,588.7527276461016,0.0,-201.8777337704364,-201.8777337704364,83.87322135005115,17.930610515050848,0.4323557483730318,129.5548,129.5548,129.5548,,23.6172307692308,23.6172307692308,,21.2802692173913,21.2802692173913,0.0265692860463787,-1.143176,-1.143176,,18.6228187702266,,11.7781533935906,0.003923827369405009,1.4243603940360061,0.3873011871250983,1.8116615811611048
2019-10-16,0.9655058633333333,1.2339557956880507,0.31822930258500265,133.51486432249166,133.51486432249166,70.1455159375,49.46561430107053,36.07664393860702,20.55517375,10.879576365440114,20.77854324463051,22.64941176470589,21.408360571736807,13.81667391176471,13.243872299962376,13.243872299962376,1.5839734690580913,2.093050554226363,0.8590947585383119,0.03641540162520592,28.9651759,59.22987819302644,15.275006524080126,6408.7134874796,6408.7134874796,6408.7134874796,2244.65651,2374.3494864513855,1731.678909053137,657.76556,522.2196655411254,997.3700757422645,100.46642660286541,41.23654840983897,1.7479392780098844,684.0683,684.0683,684.0683,25.916,25.916,25.916,19.20492,19.20492,19.20492,0.12315737847190046,-5.675966,-5.675966,15.3290000000001,15.3290000000001,-2.564752,-2.564752,0.004887443995146166,1.279365368969371,0.8907094456525216,2.170074814621893
2019-10-17,-0.10439788636363646,0.02344427186713137,-0.3225797478599382,203.4118234583334,203.4118234583334,50.99744568181818,47.554107159243614,46.20305423812271,34.313665249999985,31.005043914036538,38.35187657589009,15.821895833333338,15.821895833333338,14.906725020833333,14.906725020833333,14.906725020833333,1.691676848923304,1.7669919955298903,1.7435477236627588,0.034841752898550425,-4.593507000000004,1.1253250496223057,-15.483827897277035,9763.767526000003,9763.767526000003,9763.767526000003,2243.8876099999998,2282.5971436436935,2217.74660342989,1372.5466099999994,1488.2421078737539,1840.8900756427242,84.81561578543473,83.69029073581243,1.6724041391304203,809.7987,809.7987,809.7987,22.556,22.556,22.556,26.13067,26.13067,26.13067,0.12300777764482754,-4.942039,-4.942039,10.135,10.135,8.367935,8.367935,-0.027706441608338933,0.024307021071841805,1.8077102798935485,1.83201730096539
2019-10-18,0.2556520681818182,0.3288180856593743,0.39000756595894615,130.96455929375,130.96455929375,40.63379255813954,37.25019735503973,35.0247187195812,22.351788906976743,18.948545632629727,18.725246372652283,16.59277083333334,16.59277083333334,14.794018041666668,14.794018041666668,14.794018041666668,1.7059139524406124,1.8489794450731984,1.520161359413824,0.02729774550120419,11.248691,15.783268111649967,18.720363166029415,6286.2988461,6286.2988461,6286.2988461,1747.2530800000002,1788.009473041907,1681.1864985398977,961.126923,909.530190366227,898.8118258873095,88.75101336351352,72.96774525186355,1.3102917840578012,557.4995,557.4995,557.4995,21.776,21.776,21.776,23.1397,23.1397,23.1397,0.07031123445421748,-3.512228,-3.512228,10.002,10.002,6.402825,6.402825,-0.0014457172866486124,0.34091859121163925,1.5761032974402525,1.9170218886518922
2019-10-19,2.888798,1.949986740016129,1.7070302472625782,25.076764914479167,25.076764914479167,32.29912727272727,18.91149220331012,14.276788078452304,-10.232186153846156,-6.924230037230878,-5.94394937412206,18.66819230769231,19.01300476618719,7.294359332222224,12.299056367434945,12.299056367434945,1.7197223115710036,2.0584715287364124,0.10848478872028387,0.013868702533951375,28.88798,93.59936352077419,81.93745186860376,1203.684715895,1203.684715895,1203.684715895,355.2904,907.7516257588858,685.2858277657106,-133.01842000000002,-332.3630417870821,-285.3095699578589,98.8066333793478,5.207269858573626,0.665697721629666,160.3348,160.3348,160.3348,21.316,23.2493666666667,23.2493666666667,12.25206,19.3010255333333,19.3010255333333,0.04019623942654864,-4.249499,-4.249499,16.742,16.742,0.01712799,0.01712799,0.0022734608360156926,2.021746252048722,0.11247702894519031,2.134223280993913
